"YMCC","fuelups","kml"
"2006 Bajaj Pulsar 150 DTSi","Added Sep 2009 &bull; 43 fuel-ups Property of Renji .","49.2"
"2006 Bajaj Pulsar 150 DTSi","Added Jul 2012 Property of rutuv .","N/A"
"2005 Bajaj Pulsar 150 DTSi","Added Oct 2012 Property of dhuraison .","N/A"
"2004 Bajaj Pulsar 150 DTSi","Added Jun 2009 Property of pulseflexer.","N/A"
"2012 Bajaj PULSAR 180 DTSI-UG4","Added Apr 2012 &bull; 1 fuel-up Property of Tynic .","130.8"
"2010 Bajaj PULSAR 180 DTSI-UG4","Added May 2011 &bull; 10 fuel-ups Property of hard .","42.1"
"2007 Bajaj PULSAR 180 DTSI-UG4","Added Sep 2011 Property of TakSlak .","N/A"
"2006 Bajaj PULSAR 180 DTSI-UG4","Added Sep 2011 Property of briantw .","N/A"
"2012 Bajaj Pulsar 220","Added Jul 2012 &bull; 3 fuel-ups Property of jhonnattik .","23.8"
"2011 Bajaj Pulsar 220","Added Jul 2012 Property of jordanodark .","N/A"
"2011 Bajaj Pulsar 220","Added Sep 2012 Property of felixsap .","N/A"
"2011 Bajaj Pulsar 220","Added Aug 2011 Property of gaumire .","N/A"
"2010 Bajaj Pulsar 220","Added Sep 2012 &bull; 3 fuel-ups Property of rachitleo .","37.7"
"2010 Bajaj Pulsar 220","Added May 2011 &bull; 26 fuel-ups Property of Tripper .","24.6"
"2010 Bajaj Pulsar 220","Added Apr 2010 &bull; 18 fuel-ups Property of adventuresystem .","34.8"
"2008 Bajaj pulsar 220","Added Sep 2008 Property of sseksaria.","N/A"
"2007 Bajaj Pulsar 220","Added Dec 2008 &bull; 84 fuel-ups Property of ak78 .","43.5"
"2007 Bajaj Pulsar 220","Added Sep 2011 &bull; 4 fuel-ups Property of adityab .","37.6"
"2007 Bajaj pulsar 220","Added Aug 2008 Property of ridersinc.","N/A"
"2007 Bajaj pulsar 220","Added Sep 2008 &bull; 1 fuel-up Property of kashifsayed.","43.2"
"2007 Baron 150-R Retro","Added Apr 2011 &bull; 27 fuel-ups Property of PikaPikaChick .","22.7"
"2006 Baron speedster 150","Added Jul 2011 &bull; 8 fuel-ups Property of nerdtastic .","30.8"
"2010 Benelli 49X","Added Feb 2012 &bull; 17 fuel-ups Property of FJCruiser .","19.8"
"2009 Benelli Tre k 899","Added Mar 2012 &bull; 22 fuel-ups Property of Lanyu .","14.0"
"2008 Benelli Velvet 125","Added May 2010 &bull; 9 fuel-ups Property of fishnet2 .","32.7"
"2012 Beta RR 400 enduro","Added Aug 2012 &bull; 12 fuel-ups Property of aie .","17.8"
"2011 Big Boy F35 Sportflight","Added Oct 2011 &bull; 17 fuel-ups Property of derricka .","32.5"
"2011 Big Boy F35 Sportflight","Added Oct 2011 &bull; 4 fuel-ups Property of DonovanPorter .","28.9"
"2012 Big Boy Revival 150 E5","Added Jul 2012 &bull; 6 fuel-ups Property of SirHackelot .","28.3"
"2012 Big Boy Revival 150e","Added Mar 2012 &bull; 8 fuel-ups Property of boylegend .","29.7"
"2011 Big Boy Revival 150e","Added Nov 2011 &bull; 3 fuel-ups Property of whitepuff .","23.8"
"2011 Big Boy Revival 150e","Added Apr 2012 Property of coetzeehei .","N/A"
"2012 Big Boy Urban Si","Added Mar 2012 &bull; 19 fuel-ups Property of p3Lab .","30.2"
"2004 Big Dog Chopper DT","Added Jul 2012 &bull; 4 fuel-ups Property of NCFR .","15.2"
"2012 BMS Motorsports Heritage 150","Added Aug 2012 Property of HeatherB .","N/A"
