Year,Make,Model,fuelups,user,KML,MPG,LP100KM,CC,Style,url
2007,Bajaj,pulsar 220,1,kashifsayed.,43.2,101.6,2.31,220,,http://www.fuelly.com/driver/kashifsayed./
2007,Bajaj,Pulsar 220,84,ak78,43.5,102.3,2.30,220,,http://www.fuelly.com/driver/ak78/
2007,Baron,150-R Retro,27,PikaPikaChick,22.7,53.4,4.41,150,,http://www.fuelly.com/driver/PikaPikaChick/
2006,Baron,speedster 150,8,nerdtastic,30.8,72.4,3.25,150,,http://www.fuelly.com/driver/nerdtastic/
2010,Benelli,49X,17,FJCruiser,19.8,46.6,5.05,49,,http://www.fuelly.com/driver/FJCruiser/
2009,Benelli,Tre k 899,22,Lanyu,14,32.9,7.14,899,,http://www.fuelly.com/driver/Lanyu/
2008,Benelli,Velvet 125,9,fishnet2,32.7,76.9,3.06,125,,http://www.fuelly.com/driver/fishnet2/
2012,Beta,RR 400 enduro,12,aie,17.8,41.9,5.62,400,,http://www.fuelly.com/driver/aie/
2011,Big,Boy F35 Sportflight,4,DonovanPorter,28.9,68.0,3.46,,,http://www.fuelly.com/driver/DonovanPorter/
2011,Big,Boy F35 Sportflight,17,derricka,32.5,76.4,3.08,,,http://www.fuelly.com/driver/derricka/
2012,Big,Boy Revival 150 E5,6,SirHackelot,28.3,66.6,3.53,150,,http://www.fuelly.com/driver/SirHackelot/
2011,Big,Boy Revival 150e,3,whitepuff,23.8,56.0,4.20,150,,http://www.fuelly.com/driver/whitepuff/
2012,Big,Boy Revival 150e,8,boylegend,29.7,69.9,3.37,150,,http://www.fuelly.com/driver/boylegend/
2012,Big,Boy Urban Si,19,p3Lab,30.2,71.0,3.31,,,http://www.fuelly.com/driver/p3Lab/
2004,Big,Dog Chopper DT,4,NCFR,15.2,35.8,6.58,,,http://www.fuelly.com/driver/NCFR/
2010,BMS,Motorsports Heritage 150,3,melemel,21.9,51.5,4.57,150,,http://www.fuelly.com/driver/melemel/
2011,BMS,Motorsports Palazzo 150,20,besumi,27.6,64.9,3.62,150,,http://www.fuelly.com/driver/besumi/
2012,BMS,Motorsports TBX 260,15,mikeyphillips,33.6,79.0,2.98,260,,http://www.fuelly.com/driver/mikeyphillips/
2008,BMS,Motorsports TBX 260,7,Dialm4speed,38.4,90.3,2.60,260,,http://www.fuelly.com/driver/Dialm4speed/
2004,BMW,BOXERCUP,4,DVH,24.6,57.9,4.07,,,http://www.fuelly.com/driver/DVH/
2012,BMW,C 650 GT,4,ttdriver,20.5,48.2,4.88,650,,http://www.fuelly.com/driver/ttdriver/
2007,BMW,F650 GS,1,Fen,8.6,20.2,11.63,650,,http://www.fuelly.com/driver/Fen/
2001,BMW,F650 GS,6,Grimstone,13.8,32.5,7.25,650,,http://www.fuelly.com/driver/Grimstone/
1994,BMW,F650 GS,10,bolasch,17.8,41.9,5.62,650,,http://www.fuelly.com/driver/bolasch/
2006,BMW,F650 GS,8,ArnoRoux,18.9,44.5,5.29,650,,http://www.fuelly.com/driver/ArnoRoux/
2002,BMW,F650 GS,8,mrbond,19.4,45.6,5.15,650,,http://www.fuelly.com/driver/mrbond/
2002,BMW,F650 GS,79,DaveT,19.5,45.9,5.13,650,,http://www.fuelly.com/driver/DaveT/
2001,BMW,F650 GS,4,yoeddy,20.1,47.3,4.98,650,,http://www.fuelly.com/driver/yoeddy/
2006,BMW,F650 GS,7,Hanno,21,49.4,4.76,650,,http://www.fuelly.com/driver/Hanno/
2002,BMW,F650 GS,49,LimSteel,21.4,50.3,4.67,650,,http://www.fuelly.com/driver/LimSteel/
2005,BMW,F650 GS,35,johnrhopkins,22,51.7,4.55,650,,http://www.fuelly.com/driver/johnrhopkins/
2005,BMW,F650 GS,5,Largeviking,22.4,52.7,4.46,650,,http://www.fuelly.com/driver/Largeviking/
2007,BMW,F650 GS,47,fs2k2isfun,22.8,53.6,4.39,650,,http://www.fuelly.com/driver/fs2k2isfun/
