Year,Make,Model,fuelups,user,KML,kms,CC,Style,url
2001,Honda,EX5 C 100,51,kulart159,42.9,2187.9,100,,
2011,Honda,PCX,41,pozo,42.9,1758.9,,,
2010,Honda,PCX,17,Helghan,42.9,729.3,,,
2006,Honda,Ruckus,20,Deez,42.9,858,,,
2009,Vespa,GTS 250,4,jeanbean39,42.9,171.6,250,,
2006,Genuine,Buddy 125,6,chasenshaw.,42.8,256.8,125,,
2011,Honda,CBF125,16,Gonch,42.8,684.8,125,,
2005,Honda,Dream,10,joeycaro,42.8,428,,,
2010,SYM,Symba,7,wesleyjack,42.8,299.6,,,
2009,Genuine,Buddy 125,39,slownj,42.7,1665.3,125,,
2011,Genuine,Stella 150 4T,9,Nanajittung,42.7,384.3,150,,
2006,Honda,Metropolitan,5,Buffalo66,42.7,213.5,,,
2012,Honda,NC700S,4,Phantie,42.7,170.8,700,,
2012,Honda,PCX,3,Diacus,42.7,128.1,,,
2011,Honda,PCX,30,DBarbeiro,42.7,1281,,,
2012,Italika,at 110 sport,8,pequestrueques,42.7,341.6,110,,
2010,SYM,Symba,1,Dava,42.7,42.7,,,
2008,Tomos,ST,1,Emerica.,42.7,42.7,,,
2007,Yamaha,C3,25,guzzller,42.7,1067.5,50,Scooter,
2007,Yamaha,C3,8,MaineYota,42.7,341.6,50,Scooter,
2012,Honda,PCX,2,aikanaro79,42.6,85.2,,,
2011,Honda,PCX,36,jfr,42.6,1533.6,,,
2009,Suzuki,TU250X,11,forvirginia,42.6,468.6,250,,
2007,Genuine,Buddy 125,4,mj1010,42.5,170,125,,
2012,Genuine,Stella 150 4T,1,MisatoKats,42.5,42.5,150,,
2012,Honda,CBF125,6,KernowExile,42.5,255,125,,
2012,Honda,PCX,22,ericpcx,42.5,935,,,
2011,Honda,PCX,3,rcfaro,42.5,127.5,,,
2008,Honda,Wave125X,5,IsaacHan,42.5,212.5,125,,
2009,Genuine,Buddy 125,8,KindBudd.,42.4,339.2,125,,
2009,Genuine,Buddy 150 Pamplona,40,ptbmbptb,42.4,1696,150,,
2008,Honda,CBR125R,10,extermin8tor,42.4,424,125,,
2011,Honda,PCX,16,ejust,42.4,678.4,,,
2011,Puma,Cycles Romeo 50,6,Urbanian,42.4,254.4,50,,
2012,Genuine,Buddy 125,13,GoGoGidget,42.3,549.9,125,,
2008,Genuine,Buddy 125,7,phatchok,42.3,296.1,125,,
2012,Honda,PCX,9,srpatrao,42.3,380.7,,,
2011,Honda,PCX,28,oldcodgeman,42.3,1184.4,,,
2009,Yamaha,LC135,2,Aaronnj,42.3,84.6,350,,
1992,Honda,Elite 80,8,EllenH.,42.2,337.6,80,,
2012,Honda,PCX,15,PeeCeeXee,42.2,633,,,
2011,Honda,PCX,29,Maviwolf,42.2,1223.8,,,
2010,Kymco,Super 8 125,2,alecs09,42.2,84.4,125,,
2010,Bajaj,PULSAR 180 DTSI-UG4,10,hard,42.1,421,180,,
2011,Honda,PCX,16,tsilidis,42.1,673.6,,,
2011,Honda,PCX,1,ryn0tech,42.1,42.1,,,
2012,Honda,PCX150,7,sprung,42.1,294.7,150,,
2010,Kawasaki,Rouser 135LS,18,chiwang,42.1,757.8,110,,
2008,Suzuki,EN Yes 125,9,natanaellorenzi5,42.1,378.9,125,,
2007,Yamaha,Krypton,36,jyyym,42.1,1515.6,,,
2012,Yamaha,Zuma,14,Edlips,42.1,589.4,,,
2011,Honda,CBF125,7,paralyzedcitizen,42,294,125,,
2011,Honda,CBF125,8,VelosRRaptor,42,336,125,,
2010,Honda,Elite 110,32,mmm12,42,1344,110,,
